order_id,customer_id,store_id,order_date,payment_method,status
1,1181,3,2023-08-04,M-Pesa,Completed
2,891,1,2022-01-21,Card,Cancelled
3,1253,2,2024-06-09,M-Pesa,Completed
4,3,6,2025-08-07,M-Pesa,Completed
5,1161,3,2022-04-21,M-Pesa,Refunded
6,353,9,2025-07-10,Card,Completed
7,331,12,2026-04-29,Card,Completed
8,1453,1,2025-09-18,Cash,Refunded
9,1635,11,2023-02-23,M-Pesa,Completed
10,710,5,2025-03-18,M-Pesa,Completed
11,571,11,2022-11-15,Cash,Completed
12,818,3,2023-09-27,Card,Completed
13,1889,2,2026-06-20,M-Pesa,Completed
14,1790,7,2026-05-26,M-Pesa,Completed
15,1284,9,2023-06-18,M-Pesa,Refunded
16,1451,12,2024-06-13,M-Pesa,Completed
17,1890,7,2025-09-23,M-Pesa,Cancelled
18,1725,1,2023-03-14,M-Pesa,Completed
19,994,10,2026-01-06,M-Pesa,Cancelled
20,2226,6,2023-06-28,M-Pesa,Completed
21,1609,1,2023-01-12,Cash,Completed
22,1886,11,2016-08-11,M-Pesa,Completed
23,439,1,2022-02-28,Card,Cancelled
24,1973,2,2026-02-20,Card,Completed
25,2093,2,2025-02-22,M-Pesa,Refunded
26,2029,4,2024-11-06,Cash,Completed
27,634,11,2022-06-20,Card,Refunded
28,27,5,2022-04-24,M-Pesa,Cancelled
29,276,12,2025-12-02,M-Pesa,Completed
30,2130,10,2023-12-24,M-Pesa,Completed
31,101,4,2024-04-08,M-Pesa,Completed
32,499,7,2024-04-23,Card,Completed
33,963,8,2022-04-20,M-Pesa,Completed
34,505,10,2023-11-29,M-Pesa,Completed
35,581,11,2026-06-11,Cash,Completed
36,2240,9,2023-04-03,Cash,Completed
37,410,8,2023-02-22,M-Pesa,Completed
38,1603,6,2025-01-04,M-Pesa,Refunded
39,1741,2,2023-08-13,Cash,Completed
40,1596,5,2023-03-06,M-Pesa,Cancelled
41,1821,5,2022-03-29,M-Pesa,Completed
42,1878,3,2024-05-22,Card,Completed
43,2062,3,2025-09-06,Cash,Completed
44,2102,12,2025-12-13,M-Pesa,Completed
45,1390,11,2025-02-03,M-Pesa,Refunded
46,1241,3,2024-02-19,M-Pesa,Completed
47,1933,11,2024-10-13,M-Pesa,Refunded
48,2077,3,2024-01-10,M-Pesa,Completed
49,1426,3,2025-07-11,M-Pesa,Cancelled
50,121,7,2022-06-25,Cash,Completed
51,2046,2,2024-11-19,M-Pesa,Completed
52,970,4,2024-12-04,M-Pesa,Completed
